Jahr,Aktive,Jugend,Ehrenmitglieder,Passive,Ausgetreten
'90,26,0,0,2,0
'95,26,2,0,3,0
'00,32,5,0,8,0
'05,43,2,1,8,0
'10,40,4,1,12,3
'15,42,4,3,16,1
